Date,Cases
2001-07-07,0
2001-07-14,0
2001-07-21,0
2001-07-28,0
2001-08-04,0
2001-08-11,0
2001-08-18,0
2001-08-25,0
2001-09-01,0
2001-09-08,0
2001-09-15,0
2001-09-22,0
2001-09-29,0
2001-10-06,0
2001-10-13,0
2001-10-20,0
2001-10-27,0
2001-11-03,0
2001-11-10,0
2001-11-17,0
2001-11-24,0
2001-12-01,1
2001-12-08,0
2001-12-15,0
2001-12-22,3
2001-12-29,23
2002-01-05,26
2002-01-12,69
2002-01-19,47
2002-01-26,52
2002-02-02,40
2002-02-09,25
2002-02-16,11
2002-02-23,6
2002-03-02,10
2002-03-09,8
2002-03-16,1
2002-03-23,1
2002-03-30,1
2002-04-06,0
2002-04-13,0
2002-04-20,1
2002-04-27,0
2002-05-04,0
2002-05-11,0
2002-05-18,0
2002-05-25,0
2002-06-01,0
2002-06-08,0
2002-06-15,0
2002-06-22,0
2002-06-29,0
2002-07-06,0
2002-07-13,0
2002-07-20,0
2002-07-27,0
2002-08-03,0
2002-08-10,0
2002-08-17,0
2002-08-24,0
2002-08-31,0
2002-09-07,0
2002-09-14,0
2002-09-21,0
2002-09-28,0
2002-10-05,0
2002-10-12,0
2002-10-19,0
2002-10-26,0
2002-11-02,0
2002-11-09,0
2002-11-16,0
2002-11-23,0
2002-11-30,0
2002-12-07,0
2002-12-14,0
2002-12-21,0
2002-12-28,0
2003-01-04,1
2003-01-11,1
2003-01-18,2
2003-01-25,8
2003-02-01,18
2003-02-08,20
2003-02-15,24
2003-02-22,23
2003-03-01,42
2003-03-08,8
2003-03-15,8
2003-03-22,2
2003-03-29,3
2003-04-05,3
2003-04-12,0
2003-04-19,0
2003-04-26,0
2003-05-03,0
2003-05-10,0
2003-05-17,0
2003-05-24,0
2003-05-31,0
2003-06-07,0
2003-06-14,0
2003-06-21,0
2003-06-28,0
2003-07-05,0
2003-07-12,0
2003-07-19,0
2003-07-26,0
2003-08-02,0
2003-08-09,0
2003-08-16,0
2003-08-23,0
2003-08-30,0
2003-09-06,0
2003-09-13,0
2003-09-20,0
2003-09-27,0
2003-10-04,0
2003-10-11,0
